Date,No_of_calls_from_commercial_card,No_of_calls_from_retail_card,No_of_calls_from_student_card
2017-05-10,1775.0,2665.0,5379.0
2017-05-11,1735.0,2617.0,5315.0
2017-05-12,1688.0,2539.0,5127.0
2017-05-13,450.0,685.0,1393.0
2017-05-14,438.0,667.0,1392.0
2017-05-15,2112.0,3169.0,6363.0
2017-05-16,1853.0,2789.0,5603.0
2017-05-17,1778.0,2679.0,5436.0
2017-05-18,1758.0,2643.0,5379.0
2017-05-19,1670.0,2519.0,5117.0
2017-05-20,432.0,653.0,1378.0
2017-05-21,468.0,721.0,1478.0
2017-05-22,2132.0,3207.0,6487.0
2017-05-23,2044.0,3073.0,6195.0
2017-05-24,1950.0,2943.0,5968.0
2017-05-25,1751.0,2632.0,5291.0
2017-05-26,1593.0,2408.0,4876.0
2017-05-27,356.0,535.0,1164.0
2017-05-28,341.0,525.0,1062.0
2017-05-29,378.0,584.0,1168.0
2017-05-30,2154.0,3244.0,6587.0
2017-05-31,1909.0,2869.0,5812.0
2017-06-01,2166.0,3260.0,6528.0
2017-06-02,1813.0,2729.0,5554.0
2017-06-03,461.0,711.0,1439.0
2017-06-04,508.0,778.0,1592.0
2017-06-05,2235.0,3354.0,6774.0
2017-06-06,1946.0,2936.0,5919.0
2017-06-07,1772.0,2675.0,5412.0
2017-06-08,1690.0,2546.0,5136.0
2017-06-09,1479.0,2220.0,4451.0
2017-06-10,447.0,677.0,1396.0
2017-06-11,464.0,698.0,1415.0
2017-06-12,2010.0,3019.0,6095.0
2017-06-13,1849.0,2793.0,5620.0
2017-06-14,1679.0,2538.0,5149.0
2017-06-15,1750.0,2643.0,5349.0
2017-06-16,1703.0,2563.0,5193.0
2017-06-17,412.0,619.0,1269.0
2017-06-18,473.0,723.0,1539.0
2017-06-19,2097.0,3154.0,6324.0
2017-06-20,1909.0,2882.0,5783.0
2017-06-21,1956.0,2935.0,5963.0
2017-06-22,1849.0,2774.0,5609.0
2017-06-23,1714.0,2573.0,5229.0
2017-06-24,532.0,809.0,1679.0
2017-06-25,578.0,867.0,1747.0
2017-06-26,2242.0,3376.0,6757.0
2017-06-27,2169.0,3257.0,6606.0
2017-06-28,1968.0,2967.0,5956.0
2017-06-29,1968.0,2963.0,5982.0
2017-06-30,1680.0,2535.0,5158.0
2017-07-01,394.0,595.0,1248.0
2017-07-02,338.0,513.0,1056.0
2017-07-03,1436.0,2159.0,4408.0
2017-07-04,263.0,398.0,801.0
2017-07-05,2043.0,3078.0,6247.0
2017-07-06,1943.0,2933.0,5871.0
2017-07-07,1729.0,2594.0,5215.0
2017-07-08,409.0,619.0,1286.0
2017-07-09,485.0,728.0,1529.0
2017-07-10,2051.0,3081.0,6177.0
2017-07-11,1977.0,2974.0,5993.0
2017-07-12,1833.0,2758.0,5536.0
2017-07-13,1705.0,2563.0,5144.0
2017-07-14,1585.0,2385.0,4782.0
2017-07-15,493.0,757.0,1577.0
2017-07-16,493.0,754.0,1574.0
2017-07-17,2061.0,3109.0,6258.0
2017-07-18,1941.0,2924.0,5915.0
2017-07-19,1739.0,2621.0,5265.0
2017-07-20,1687.0,2545.0,5185.0
2017-07-21,1736.0,2615.0,5257.0
2017-07-22,546.0,836.0,1759.0
2017-07-23,493.0,758.0,1545.0
2017-07-24,2080.0,3122.0,6278.0
2017-07-25,1891.0,2845.0,5760.0
2017-07-26,1935.0,2920.0,5921.0
2017-07-27,1545.0,2331.0,4689.0
2017-07-28,1474.0,2222.0,4520.0
2017-07-29,405.0,610.0,1264.0
2017-07-30,444.0,671.0,1428.0
2017-07-31,1963.0,2952.0,5976.0
2017-08-01,2148.0,3230.0,6481.0
2017-08-02,1923.0,2888.0,5837.0
2017-08-03,1733.0,2610.0,5284.0
2017-08-04,1651.0,2477.0,5016.0
2017-08-05,389.0,585.0,1231.0
2017-08-06,411.0,636.0,1288.0
2017-08-07,1859.0,2793.0,5608.0
2017-08-08,1704.0,2556.0,5158.0
2017-08-09,1591.0,2400.0,4841.0
2017-08-10,1462.0,2197.0,4476.0
2017-08-11,1467.0,2203.0,4445.0
2017-08-12,435.0,669.0,1349.0
2017-08-13,408.0,630.0,1305.0
2017-08-14,1650.0,2482.0,4971.0
2017-08-15,1581.0,2380.0,4774.0
2017-08-16,1613.0,2427.0,4917.0
2017-08-17,1592.0,2392.0,4806.0
2017-08-18,1490.0,2249.0,4503.0
2017-08-19,377.0,573.0,1219.0
2017-08-20,387.0,584.0,1217.0
2017-08-21,1712.0,2577.0,5253.0
2017-08-22,1762.0,2645.0,5387.0
2017-08-23,1670.0,2517.0,5133.0
2017-08-24,1585.0,2388.0,4867.0
2017-08-25,1546.0,2322.0,4649.0
2017-08-26,430.0,645.0,1369.0
2017-08-27,447.0,687.0,1381.0
2017-08-28,1892.0,2850.0,5727.0
2017-08-29,1712.0,2578.0,5174.0
2017-08-30,1883.0,2830.0,5689.0
2017-08-31,1974.0,2969.0,5955.0
2017-09-01,1790.0,2686.0,5441.0
2017-09-02,312.0,481.0,1008.0
2017-09-03,325.0,489.0,1071.0
2017-09-04,420.0,649.0,1389.0
2017-09-05,2316.0,3490.0,7030.0
2017-09-06,1973.0,2961.0,6001.0
2017-09-07,1758.0,2654.0,5332.0
2017-09-08,1621.0,2443.0,4960.0
2017-09-09,453.0,681.0,1412.0
2017-09-10,425.0,652.0,1345.0
2017-09-11,1678.0,2523.0,5077.0
2017-09-12,1710.0,2565.0,5186.0
2017-09-13,1786.0,2693.0,5439.0
2017-09-14,1724.0,2596.0,5235.0
2017-09-15,1518.0,2290.0,4644.0
2017-09-16,419.0,635.0,1362.0
2017-09-17,535.0,815.0,1691.0
2017-09-18,1933.0,2909.0,5826.0
2017-09-19,1758.0,2640.0,5292.0
2017-09-20,1830.0,2749.0,5500.0
2017-09-21,1647.0,2471.0,4973.0
2017-09-22,1508.0,2263.0,4560.0
2017-09-23,466.0,706.0,1428.0
2017-09-24,518.0,789.0,1677.0
2017-09-25,2050.0,3084.0,6196.0
2017-09-26,1861.0,2798.0,5668.0
2017-09-27,1709.0,2575.0,5243.0
2017-09-28,1716.0,2593.0,5283.0
2017-09-29,1558.0,2347.0,4701.0
2017-09-30,437.0,674.0,1434.0
2017-10-01,592.0,889.0,1800.0
2017-10-02,2216.0,3338.0,6688.0
2017-10-03,2159.0,3258.0,6543.0
2017-10-04,1946.0,2923.0,5869.0
2017-10-05,1767.0,2660.0,5329.0
2017-10-06,1563.0,2351.0,4775.0
2017-10-07,456.0,691.0,1394.0
2017-10-08,490.0,753.0,1528.0
2017-10-09,1986.0,2993.0,6013.0
2017-10-10,1856.0,2790.0,5614.0
2017-10-11,1816.0,2727.0,5541.0
2017-10-12,1840.0,2779.0,5657.0
2017-10-13,1632.0,2463.0,4946.0
2017-10-14,465.0,700.0,1467.0
2017-10-15,514.0,776.0,1552.0
2017-10-16,2124.0,3198.0,6412.0
2017-10-17,2043.0,3080.0,6234.0
2017-10-18,1987.0,2992.0,5996.0
2017-10-19,1893.0,2855.0,5766.0
2017-10-20,1671.0,2508.0,5036.0
2017-10-21,435.0,663.0,1409.0
2017-10-22,520.0,785.0,1659.0
2017-10-23,2265.0,3412.0,6886.0
2017-10-24,2115.0,3191.0,6386.0
2017-10-25,1882.0,2841.0,5726.0
2017-10-26,1890.0,2842.0,5755.0
2017-10-27,1573.0,2377.0,4780.0
2017-10-28,422.0,653.0,1325.0
2017-10-29,488.0,732.0,1542.0
2017-10-30,2081.0,3136.0,6325.0
2017-10-31,1953.0,2948.0,5969.0
2017-11-01,2412.0,3627.0,7277.0
2017-11-02,2027.0,3053.0,6120.0
2017-11-03,1850.0,2785.0,5656.0
2017-11-04,414.0,628.0,1348.0
2017-11-05,573.0,865.0,1753.0
2017-11-06,2240.0,3367.0,6784.0
2017-11-07,2026.0,3055.0,6205.0
2017-11-08,1892.0,2843.0,5700.0
2017-11-09,2348.0,3525.0,7129.0
2017-11-10,2365.0,3551.0,7200.0
2017-11-11,391.0,594.0,1269.0
2017-11-12,518.0,793.0,1675.0
2017-11-13,3075.0,4623.0,9331.0
2017-11-14,2439.0,3665.0,7361.0
2017-11-15,2296.0,3454.0,6991.0
2017-11-16,2512.0,3783.0,7637.0
2017-11-17,2025.0,3041.0,6091.0
2017-11-18,369.0,567.0,1180.0
2017-11-19,407.0,627.0,1302.0
2017-11-20,2308.0,3466.0,6948.0
2017-11-21,2353.0,3531.0,7110.0
2017-11-22,1725.0,2603.0,5243.0
2017-11-23,184.0,289.0,598.0
2017-11-24,496.0,754.0,1528.0
2017-11-25,327.0,505.0,1028.0
2017-11-26,397.0,613.0,1303.0
2017-11-27,3146.0,4734.0,9502.0
2017-11-28,2531.0,3799.0,7631.0
2017-11-29,2548.0,3827.0,7721.0
2017-11-30,2531.0,3812.0,7648.0
2017-12-01,2210.0,3319.0,6676.0
2017-12-02,428.0,645.0,1346.0
2017-12-03,545.0,827.0,1683.0
2017-12-04,2704.0,4073.0,8244.0
2017-12-05,2560.0,3846.0,7734.0
2017-12-06,2427.0,3651.0,7400.0
2017-12-07,2318.0,3490.0,7029.0
2017-12-08,2122.0,3202.0,6441.0
2017-12-09,452.0,681.0,1397.0
2017-12-10,429.0,654.0,1391.0
2017-12-11,2657.0,4003.0,8058.0
2017-12-12,2617.0,3928.0,7910.0
2017-12-13,2209.0,3326.0,6666.0
2017-12-14,2075.0,3127.0,6331.0
2017-12-15,1858.0,2789.0,5582.0
2017-12-16,397.0,600.0,1236.0
2017-12-17,420.0,637.0,1374.0
2017-12-18,2186.0,3281.0,6657.0
2017-12-19,2059.0,3089.0,6228.0
2017-12-20,1956.0,2948.0,5960.0
2017-12-21,2078.0,3130.0,6318.0
2017-12-22,1403.0,2113.0,4323.0
2017-12-23,329.0,509.0,1106.0
2017-12-24,208.0,325.0,676.0
2017-12-25,97.0,157.0,324.0
2017-12-26,1063.0,1613.0,3297.0
2017-12-27,1572.0,2368.0,4787.0
2017-12-28,1547.0,2335.0,4715.0
2017-12-29,1208.0,1818.0,3732.0
2017-12-30,314.0,480.0,995.0
2017-12-31,323.0,504.0,1049.0
2018-01-01,200.0,305.0,709.0
2018-01-02,2343.0,3529.0,7136.0
2018-01-03,2257.0,3404.0,6862.0
2018-01-04,2024.0,3036.0,6153.0
2018-01-05,1970.0,2961.0,5934.0
2018-01-06,448.0,675.0,1352.0
2018-01-07,422.0,650.0,1379.0
2018-01-08,2124.0,3203.0,6427.0
2018-01-09,2130.0,3210.0,6431.0
2018-01-10,1994.0,2995.0,6032.0
2018-01-11,1906.0,2861.0,5749.0
2018-01-12,1748.0,2630.0,5308.0
2018-01-13,424.0,647.0,1351.0
2018-01-14,388.0,602.0,1271.0
2018-01-15,1524.0,2298.0,4672.0
2018-01-16,2072.0,3125.0,6318.0
2018-01-17,1881.0,2823.0,5717.0
2018-01-18,1868.0,2811.0,5714.0
2018-01-19,1971.0,2961.0,5941.0
2018-01-20,516.0,776.0,1614.0
2018-01-21,562.0,862.0,1781.0
2018-01-22,2327.0,3508.0,7093.0
2018-01-23,2167.0,3253.0,6575.0
2018-01-24,2069.0,3104.0,6228.0
2018-01-25,1922.0,2889.0,5799.0
2018-01-26,1667.0,2512.0,5053.0
2018-01-27,442.0,682.0,1450.0
2018-01-28,501.0,762.0,1585.0
2018-01-29,2265.0,3404.0,6825.0
2018-01-30,2158.0,3256.0,6516.0
2018-01-31,1929.0,2897.0,5867.0
2018-02-01,2337.0,3512.0,7081.0
2018-02-02,2063.0,3096.0,6258.0
2018-02-03,446.0,684.0,1466.0
2018-02-04,503.0,772.0,1602.0
2018-02-05,2417.0,3638.0,7333.0
2018-02-06,2086.0,3149.0,6394.0
2018-02-07,1971.0,2972.0,5962.0
2018-02-08,1961.0,2961.0,5961.0
2018-02-09,1786.0,2680.0,5404.0
2018-02-10,402.0,605.0,1251.0
2018-02-11,457.0,697.0,1473.0
2018-02-12,2167.0,3258.0,6592.0
2018-02-13,1975.0,2967.0,5966.0
2018-02-14,1903.0,2864.0,5776.0
2018-02-15,1805.0,2712.0,5426.0
2018-02-16,1687.0,2531.0,5076.0
2018-02-17,438.0,670.0,1344.0
2018-02-18,466.0,707.0,1458.0
2018-02-19,1501.0,2261.0,4547.0
2018-02-20,2043.0,3070.0,6193.0
2018-02-21,2090.0,3145.0,6321.0
2018-02-22,1960.0,2951.0,5961.0
2018-02-23,1700.0,2568.0,5199.0
2018-02-24,450.0,685.0,1429.0
2018-02-25,609.0,933.0,1870.0
2018-02-26,2349.0,3537.0,7171.0
2018-02-27,2175.0,3274.0,6592.0
2018-02-28,2265.0,3406.0,6871.0
2018-03-01,2307.0,3468.0,6944.0
2018-03-02,1892.0,2843.0,5743.0
2018-03-03,491.0,749.0,1551.0
2018-03-04,581.0,886.0,1837.0
2018-03-05,2239.0,3366.0,6756.0
2018-03-06,2201.0,3307.0,6615.0
2018-03-07,1874.0,2818.0,5660.0
2018-03-08,1818.0,2731.0,5543.0
2018-03-09,1718.0,2585.0,5221.0
2018-03-10,474.0,727.0,1472.0
2018-03-11,426.0,654.0,1352.0
2018-03-12,2061.0,3098.0,6271.0
2018-03-13,1913.0,2872.0,5761.0
2018-03-14,1866.0,2805.0,5681.0
2018-03-15,1825.0,2757.0,5530.0
2018-03-16,1642.0,2466.0,4982.0
2018-03-17,382.0,589.0,1220.0
2018-03-18,529.0,802.0,1687.0
2018-03-19,2011.0,3035.0,6071.0
2018-03-20,2113.0,3185.0,6406.0
2018-03-21,1910.0,2883.0,5815.0
2018-03-22,1913.0,2884.0,5780.0
2018-03-23,1747.0,2639.0,5367.0
2018-03-24,370.0,568.0,1230.0
2018-03-25,467.0,716.0,1483.0
2018-03-26,2196.0,3305.0,6696.0
2018-03-27,2085.0,3129.0,6319.0
2018-03-28,2034.0,3070.0,6235.0
2018-03-29,1969.0,2960.0,5987.0
2018-03-30,1483.0,2228.0,4490.0
2018-03-31,303.0,473.0,1010.0
2018-04-01,339.0,524.0,1131.0
2018-04-02,2346.0,3520.0,7093.0
2018-04-03,2447.0,3671.0,7391.0
2018-04-04,2040.0,3062.0,6210.0
2018-04-05,2044.0,3079.0,6250.0
2018-04-06,1880.0,2834.0,5710.0
2018-04-07,421.0,646.0,1324.0
2018-04-08,538.0,812.0,1642.0
2018-04-09,2331.0,3505.0,7108.0
2018-04-10,2078.0,3132.0,6296.0
2018-04-11,1949.0,2935.0,5894.0
2018-04-12,1917.0,2887.0,5792.0
2018-04-13,1683.0,2534.0,5126.0
2018-04-14,399.0,606.0,1240.0
2018-04-15,503.0,769.0,1584.0
2018-04-16,2248.0,3378.0,6846.0
2018-04-17,2104.0,3156.0,6343.0
2018-04-18,2038.0,3074.0,6156.0
2018-04-19,2014.0,3041.0,6096.0
2018-04-20,1868.0,2819.0,5652.0
2018-04-21,477.0,728.0,1500.0
2018-04-22,564.0,850.0,1733.0
2018-04-23,2389.0,3585.0,7267.0
2018-04-24,2244.0,3367.0,6748.0
2018-04-25,2160.0,3250.0,6525.0
2018-04-26,2154.0,3240.0,6547.0
2018-04-27,1769.0,2658.0,5391.0
2018-04-28,457.0,690.0,1384.0
2018-04-29,556.0,850.0,1730.0
2018-04-30,2391.0,3598.0,7275.0
2018-05-01,2513.0,3777.0,7596.0
2018-05-02,2281.0,3424.0,6864.0
2018-05-03,2123.0,3204.0,6443.0
2018-05-04,1766.0,2650.0,5377.0
2018-05-05,348.0,522.0,1137.0
2018-05-06,484.0,745.0,1500.0
2018-05-07,2233.0,3367.0,6743.0
2018-05-08,2106.0,3159.0,6400.0
2018-05-09,1978.0,2975.0,5965.0
2018-05-10,2042.0,3083.0,6255.0
2018-05-11,1725.0,2606.0,5298.0
2018-05-12,392.0,597.0,1269.0
2018-05-13,474.0,722.0,1481.0
2018-05-14,2116.0,3179.0,6386.0
2018-05-15,2097.0,3154.0,6396.0
2018-05-16,2024.0,3039.0,6079.0
2018-05-17,1965.0,2949.0,5933.0
2018-05-18,1736.0,2621.0,5325.0
2018-05-19,369.0,559.0,1198.0
2018-05-20,514.0,774.0,1549.0
2018-05-21,2168.0,3261.0,6541.0
2018-05-22,2091.0,3146.0,6309.0
2018-05-23,2083.0,3126.0,6288.0
2018-05-24,1851.0,2784.0,5615.0
2018-05-25,1627.0,2452.0,4950.0
2018-05-26,324.0,505.0,1083.0
2018-05-27,350.0,542.0,1158.0
2018-05-28,317.0,494.0,1083.0
2018-05-29,2390.0,3588.0,7246.0
2018-05-30,2104.0,3171.0,6406.0
2018-05-31,2009.0,3033.0,6102.0
2018-06-01,1966.0,2952.0,5986.0
2018-06-02,415.0,624.0,1261.0
2018-06-03,597.0,896.0,1858.0
2018-06-04,2121.0,3183.0,6423.0
2018-06-05,2011.0,3036.0,6077.0
2018-06-06,1871.0,2808.0,5627.0
2018-06-07,1704.0,2572.0,5195.0
2018-06-08,1441.0,2175.0,4394.0
2018-06-09,394.0,607.0,1264.0
2018-06-10,474.0,718.0,1535.0
2018-06-11,2029.0,3055.0,6193.0
2018-06-12,1886.0,2841.0,5770.0
2018-06-13,1767.0,2655.0,5405.0
2018-06-14,1891.0,2856.0,5809.0
2018-06-15,1527.0,2300.0,4672.0
2018-06-16,333.0,508.0,1054.0
2018-06-17,361.0,560.0,1214.0
2018-06-18,1900.0,2866.0,5734.0
2018-06-19,1966.0,2953.0,5969.0
2018-06-20,2006.0,3023.0,6094.0
2018-06-21,1858.0,2794.0,5673.0
2018-06-22,1667.0,2504.0,5023.0
2018-06-23,381.0,575.0,1221.0
2018-06-24,526.0,799.0,1696.0
2018-06-25,2013.0,3039.0,6136.0
2018-06-26,2013.0,3025.0,6143.0
2018-06-27,2062.0,3106.0,6297.0
2018-06-28,1999.0,3007.0,6027.0
2018-06-29,1776.0,2669.0,5376.0
2018-06-30,479.0,733.0,1503.0
2018-07-01,497.0,746.0,1519.0
2018-07-02,2219.0,3339.0,6749.0
2018-07-03,2006.0,3024.0,6101.0
2018-07-04,269.0,414.0,920.0
2018-07-05,1808.0,2725.0,5459.0
2018-07-06,1696.0,2547.0,5140.0
2018-07-07,395.0,595.0,1193.0
2018-07-08,468.0,712.0,1483.0
2018-07-09,2518.0,3783.0,7643.0
2018-07-10,2194.0,3305.0,6613.0
2018-07-11,2046.0,3070.0,6197.0
2018-07-12,2109.0,3181.0,6417.0
2018-07-13,1825.0,2742.0,5534.0
2018-07-14,405.0,623.0,1307.0
2018-07-15,447.0,672.0,1420.0
2018-07-16,2255.0,3385.0,6854.0
2018-07-17,2211.0,3319.0,6661.0
2018-07-18,2095.0,3162.0,6326.0
2018-07-19,2033.0,3066.0,6162.0
2018-07-20,2047.0,3080.0,6250.0
2018-07-21,457.0,686.0,1450.0
2018-07-22,578.0,868.0,1778.0
2018-07-23,3002.0,4516.0,9104.0
2018-07-24,2469.0,3722.0,7524.0
2018-07-25,2443.0,3676.0,7403.0
2018-07-26,2209.0,3327.0,6681.0
2018-07-27,2023.0,3036.0,6090.0
2018-07-28,418.0,631.0,1329.0
2018-07-29,521.0,799.0,1662.0
2018-07-30,2337.0,3515.0,7047.0
2018-07-31,2356.0,3540.0,7085.0
2018-08-01,2406.0,3619.0,7336.0
2018-08-02,2194.0,3299.0,6664.0
2018-08-03,1964.0,2963.0,6016.0
2018-08-04,391.0,589.0,1263.0
2018-08-05,480.0,721.0,1456.0
2018-08-06,2409.0,3620.0,7272.0
2018-08-07,2313.0,3475.0,6975.0
2018-08-08,2112.0,3173.0,6349.0
2018-08-09,1994.0,2997.0,6084.0
2018-08-10,1897.0,2865.0,5791.0
2018-08-11,349.0,532.0,1131.0
2018-08-12,414.0,640.0,1356.0
2018-08-13,2322.0,3497.0,7010.0
2018-08-14,2216.0,3331.0,6721.0
2018-08-15,2152.0,3232.0,6515.0
2018-08-16,2166.0,3269.0,6573.0
2018-08-17,1918.0,2889.0,5847.0
2018-08-18,397.0,597.0,1240.0
2018-08-19,433.0,664.0,1375.0
2018-08-20,2350.0,3540.0,7099.0
2018-08-21,2334.0,3521.0,7048.0
2018-08-22,2232.0,3350.0,6712.0
2018-08-23,2179.0,3285.0,6646.0
2018-08-24,1939.0,2912.0,5880.0
2018-08-25,417.0,642.0,1307.0
2018-08-26,451.0,677.0,1377.0
2018-08-27,3058.0,4607.0,9229.0
2018-08-28,2398.0,3604.0,7247.0
2018-08-29,2346.0,3530.0,7067.0
2018-08-30,2127.0,3200.0,6423.0
2018-08-31,1962.0,2946.0,5934.0
2018-09-01,467.0,703.0,1481.0
2018-09-02,346.0,534.0,1072.0
2018-09-03,454.0,681.0,1395.0
2018-09-04,3050.0,4588.0,9183.0
2018-09-05,2589.0,3894.0,7835.0
2018-09-06,2312.0,3483.0,7038.0
2018-09-07,1977.0,2966.0,5996.0
2018-09-08,617.0,945.0,1896.0
2018-09-09,435.0,662.0,1340.0
2018-09-10,2462.0,3709.0,7486.0
2018-09-11,2311.0,3482.0,7030.0
2018-09-12,2080.0,3124.0,6318.0
2018-09-13,2105.0,3175.0,6427.0
2018-09-14,1903.0,2870.0,5811.0
2018-09-15,530.0,808.0,1628.0
2018-09-16,429.0,660.0,1417.0
2018-09-17,2463.0,3698.0,7409.0
2018-09-18,2209.0,3314.0,6711.0
2018-09-19,2136.0,3213.0,6447.0
2018-09-20,2122.0,3201.0,6411.0
2018-09-21,1970.0,2974.0,6037.0
2018-09-22,477.0,726.0,1542.0
2018-09-23,507.0,779.0,1571.0
2018-09-24,2451.0,3690.0,7465.0
2018-09-25,2209.0,3315.0,6647.0
2018-09-26,2290.0,3443.0,6978.0
2018-09-27,2172.0,3258.0,6538.0
2018-09-28,2128.0,3207.0,6439.0
2018-09-29,580.0,879.0,1829.0
2018-09-30,479.0,722.0,1493.0
2018-10-01,2431.0,3647.0,7314.0
2018-10-02,2381.0,3580.0,7192.0
2018-10-03,2222.0,3335.0,6741.0
2018-10-04,2327.0,3498.0,7066.0
2018-10-05,2317.0,3477.0,6956.0
2018-10-06,667.0,1016.0,2088.0
2018-10-07,513.0,770.0,1593.0
2018-10-08,2132.0,3202.0,6452.0
2018-10-09,2586.0,3880.0,7764.0
2018-10-10,2341.0,3520.0,7109.0
2018-10-11,2257.0,3388.0,6855.0
2018-10-12,2105.0,3163.0,6368.0
