Date,No_of_calls_from_commercial_card
6/2/2017,1813.0
6/3/2017,461.0
6/4/2017,508.0
6/5/2017,2235.0
6/6/2017,1946.0
6/7/2017,1772.0
6/8/2017,1690.0
6/9/2017,1479.0
6/10/2017,447.0
6/11/2017,464.0
6/12/2017,2010.0
6/13/2017,1849.0
6/14/2017,1679.0
6/15/2017,1750.0
6/16/2017,1703.0
6/17/2017,412.0
6/18/2017,473.0
6/19/2017,2097.0
6/20/2017,1909.0
6/21/2017,1956.0
6/22/2017,1849.0
6/23/2017,1714.0
6/24/2017,532.0
6/25/2017,578.0
6/26/2017,2242.0
6/27/2017,2169.0
6/28/2017,1968.0
6/29/2017,1968.0
6/30/2017,1680.0
7/1/2017,394.0
7/2/2017,338.0
7/3/2017,1436.0
7/4/2017,263.0
7/5/2017,2043.0
7/6/2017,1943.0
7/7/2017,1729.0
7/8/2017,409.0
7/9/2017,485.0
7/10/2017,2051.0
7/11/2017,1977.0
7/12/2017,1833.0
7/13/2017,1705.0
7/14/2017,1585.0
7/15/2017,493.0
7/16/2017,493.0
7/17/2017,2061.0
7/18/2017,1941.0
7/19/2017,1739.0
7/20/2017,1687.0
7/21/2017,1736.0
7/22/2017,546.0
7/23/2017,493.0
7/24/2017,2080.0
7/25/2017,1891.0
7/26/2017,1935.0
7/27/2017,1545.0
7/28/2017,1474.0
7/29/2017,405.0
7/30/2017,444.0
7/31/2017,1963.0
8/1/2017,2148.0
8/2/2017,1923.0
8/3/2017,1733.0
8/4/2017,1651.0
8/5/2017,389.0
8/6/2017,411.0
8/7/2017,1859.0
8/8/2017,1704.0
8/9/2017,1591.0
8/10/2017,1462.0
8/11/2017,1467.0
8/12/2017,435.0
8/13/2017,408.0
8/14/2017,1650.0
8/15/2017,1581.0
8/16/2017,1613.0
8/17/2017,1592.0
8/18/2017,1490.0
8/19/2017,377.0
8/20/2017,387.0
8/21/2017,1712.0
8/22/2017,1762.0
8/23/2017,1670.0
8/24/2017,1585.0
8/25/2017,1546.0
8/26/2017,430.0
8/27/2017,447.0
8/28/2017,1892.0
8/29/2017,1712.0
8/30/2017,1883.0
8/31/2017,1974.0
9/1/2017,1790.0
9/2/2017,312.0
9/3/2017,325.0
9/4/2017,420.0
9/5/2017,2316.0
9/6/2017,1973.0
9/7/2017,1758.0
9/8/2017,1621.0
9/9/2017,453.0
9/10/2017,425.0
9/11/2017,1678.0
9/12/2017,1710.0
9/13/2017,1786.0
9/14/2017,1724.0
9/15/2017,1518.0
9/16/2017,419.0
9/17/2017,535.0
9/18/2017,1933.0
9/19/2017,1758.0
9/20/2017,1830.0
9/21/2017,1647.0
9/22/2017,1508.0
9/23/2017,466.0
9/24/2017,518.0
9/25/2017,2050.0
9/26/2017,1861.0
9/27/2017,1709.0
9/28/2017,1716.0
9/29/2017,1558.0
9/30/2017,437.0
10/1/2017,592.0
10/2/2017,2216.0
10/3/2017,2159.0
10/4/2017,1946.0
10/5/2017,1767.0
10/6/2017,1563.0
10/7/2017,456.0
10/8/2017,490.0
10/9/2017,1986.0
10/10/2017,1856.0
10/11/2017,1816.0
10/12/2017,1840.0
10/13/2017,1632.0
10/14/2017,465.0
10/15/2017,514.0
10/16/2017,2124.0
10/17/2017,2043.0
10/18/2017,1987.0
10/19/2017,1893.0
10/20/2017,1671.0
10/21/2017,435.0
10/22/2017,520.0
10/23/2017,2265.0
10/24/2017,2115.0
10/25/2017,1882.0
10/26/2017,1890.0
10/27/2017,1573.0
10/28/2017,422.0
10/29/2017,488.0
10/30/2017,2081.0
10/31/2017,1953.0
11/1/2017,2412.0
11/2/2017,2027.0
11/3/2017,1850.0
11/4/2017,414.0
11/5/2017,573.0
11/6/2017,2240.0
11/7/2017,2026.0
11/8/2017,1892.0
11/9/2017,2348.0
11/10/2017,2365.0
11/11/2017,391.0
11/12/2017,518.0
11/13/2017,3075.0
11/14/2017,2439.0
11/15/2017,2296.0
11/16/2017,2512.0
11/17/2017,2025.0
11/18/2017,369.0
11/19/2017,407.0
11/20/2017,2308.0
11/21/2017,2353.0
11/22/2017,1725.0
11/23/2017,184.0
11/24/2017,496.0
11/25/2017,327.0
11/26/2017,397.0
11/27/2017,3146.0
11/28/2017,2531.0
11/29/2017,2548.0
11/30/2017,2531.0
12/1/2017,2210.0
12/2/2017,428.0
12/3/2017,545.0
12/4/2017,2704.0
12/5/2017,2560.0
12/6/2017,2427.0
12/7/2017,2318.0
12/8/2017,2122.0
12/9/2017,452.0
12/10/2017,429.0
12/11/2017,2657.0
12/12/2017,2617.0
12/13/2017,2209.0
12/14/2017,2075.0
12/15/2017,1858.0
12/16/2017,397.0
12/17/2017,420.0
12/18/2017,2186.0
12/19/2017,2059.0
12/20/2017,1956.0
12/21/2017,2078.0
12/22/2017,1403.0
12/23/2017,329.0
12/24/2017,208.0
12/25/2017,97.0
12/26/2017,1063.0
12/27/2017,1572.0
12/28/2017,1547.0
12/29/2017,1208.0
12/30/2017,314.0
12/31/2017,323.0
1/1/2018,200.0
1/2/2018,2343.0
1/3/2018,2257.0
1/4/2018,2024.0
1/5/2018,1970.0
1/6/2018,448.0
1/7/2018,422.0
1/8/2018,2124.0
1/9/2018,2130.0
1/10/2018,1994.0
1/11/2018,1906.0
1/12/2018,1748.0
1/13/2018,424.0
1/14/2018,388.0
1/15/2018,1524.0
1/16/2018,2072.0
1/17/2018,1881.0
1/18/2018,1868.0
1/19/2018,1971.0
1/20/2018,516.0
1/21/2018,562.0
1/22/2018,2327.0
1/23/2018,2167.0
1/24/2018,2069.0
1/25/2018,1922.0
1/26/2018,1667.0
1/27/2018,442.0
1/28/2018,501.0
1/29/2018,2265.0
1/30/2018,2158.0
1/31/2018,1929.0
2/1/2018,2337.0
2/2/2018,2063.0
2/3/2018,446.0
2/4/2018,503.0
2/5/2018,2417.0
2/6/2018,2086.0
2/7/2018,1971.0
2/8/2018,1961.0
2/9/2018,1786.0
2/10/2018,402.0
2/11/2018,457.0
2/12/2018,2167.0
2/13/2018,1975.0
2/14/2018,1903.0
2/15/2018,1805.0
2/16/2018,1687.0
2/17/2018,438.0
2/18/2018,466.0
2/19/2018,1501.0
2/20/2018,2043.0
2/21/2018,2090.0
2/22/2018,1960.0
2/23/2018,1700.0
2/24/2018,450.0
2/25/2018,609.0
2/26/2018,2349.0
2/27/2018,2175.0
2/28/2018,2265.0
3/1/2018,2307.0
3/2/2018,1892.0
3/3/2018,491.0
3/4/2018,581.0
3/5/2018,2239.0
3/6/2018,2201.0
3/7/2018,1874.0
3/8/2018,1818.0
3/9/2018,1718.0
3/10/2018,474.0
3/11/2018,426.0
3/12/2018,2061.0
3/13/2018,1913.0
3/14/2018,1866.0
3/15/2018,1825.0
3/16/2018,1642.0
3/17/2018,382.0
3/18/2018,529.0
3/19/2018,2011.0
3/20/2018,2113.0
3/21/2018,1910.0
3/22/2018,1913.0
3/23/2018,1747.0
3/24/2018,370.0
3/25/2018,467.0
3/26/2018,2196.0
3/27/2018,2085.0
3/28/2018,2034.0
3/29/2018,1969.0
3/30/2018,1483.0
3/31/2018,303.0
4/1/2018,339.0
4/2/2018,2346.0
4/3/2018,2447.0
4/4/2018,2040.0
4/5/2018,2044.0
4/6/2018,1880.0
4/7/2018,421.0
4/8/2018,538.0
4/9/2018,2331.0
4/10/2018,2078.0
4/11/2018,1949.0
4/12/2018,1917.0
4/13/2018,1683.0
4/14/2018,399.0
4/15/2018,503.0
4/16/2018,2248.0
4/17/2018,2104.0
4/18/2018,2038.0
4/19/2018,2014.0
4/20/2018,1868.0
4/21/2018,477.0
4/22/2018,564.0
4/23/2018,2389.0
4/24/2018,2244.0
4/25/2018,2160.0
4/26/2018,2154.0
4/27/2018,1769.0
4/28/2018,457.0
4/29/2018,556.0
4/30/2018,2391.0
5/1/2018,2513.0
5/2/2018,2281.0
5/3/2018,2123.0
5/4/2018,1766.0
5/5/2018,348.0
5/6/2018,484.0
5/7/2018,2233.0
5/8/2018,2106.0
5/9/2018,1978.0
5/10/2018,2042.0
5/11/2018,1725.0
5/12/2018,392.0
5/13/2018,474.0
5/14/2018,2116.0
5/15/2018,2097.0
5/16/2018,2024.0
5/17/2018,1965.0
5/18/2018,1736.0
5/19/2018,369.0
5/20/2018,514.0
5/21/2018,2168.0
5/22/2018,2091.0
5/23/2018,2083.0
5/24/2018,1851.0
5/25/2018,1627.0
5/26/2018,324.0
5/27/2018,350.0
5/28/2018,317.0
5/29/2018,2390.0
5/30/2018,2104.0
5/31/2018,2009.0
6/1/2018,1966.0
6/2/2018,415.0
6/3/2018,597.0
6/4/2018,2121.0
6/5/2018,2011.0
6/6/2018,1871.0
6/7/2018,1704.0
6/8/2018,1441.0
6/9/2018,394.0
6/10/2018,474.0
6/11/2018,2029.0
6/12/2018,1886.0
6/13/2018,1767.0
6/14/2018,1891.0
6/15/2018,1527.0
6/16/2018,333.0
6/17/2018,361.0
6/18/2018,1900.0
6/19/2018,1966.0
6/20/2018,2006.0
6/21/2018,1858.0
6/22/2018,1667.0
6/23/2018,381.0
6/24/2018,526.0
6/25/2018,2013.0
6/26/2018,2013.0
6/27/2018,2062.0
6/28/2018,1999.0
6/29/2018,1776.0
6/30/2018,479.0
7/1/2018,497.0
7/2/2018,2219.0
7/3/2018,2006.0
7/4/2018,269.0
7/5/2018,1808.0
7/6/2018,1696.0
7/7/2018,395.0
7/8/2018,468.0
7/9/2018,2518.0
7/10/2018,2194.0
7/11/2018,2046.0
7/12/2018,2109.0
7/13/2018,1825.0
7/14/2018,405.0
7/15/2018,447.0
7/16/2018,2255.0
7/17/2018,2211.0
7/18/2018,2095.0
7/19/2018,2033.0
7/20/2018,2047.0
7/21/2018,457.0
7/22/2018,578.0
7/23/2018,3002.0
7/24/2018,2469.0
7/25/2018,2443.0
7/26/2018,2209.0
7/27/2018,2023.0
7/28/2018,418.0
7/29/2018,521.0
7/30/2018,2337.0
7/31/2018,2356.0
8/1/2018,2406.0
8/2/2018,2194.0
8/3/2018,1964.0
8/4/2018,391.0
8/5/2018,480.0
8/6/2018,2409.0
8/7/2018,2313.0
8/8/2018,2112.0
8/9/2018,1994.0
8/10/2018,1897.0
8/11/2018,349.0
8/12/2018,414.0
8/13/2018,2322.0
8/14/2018,2216.0
8/15/2018,2152.0
8/16/2018,2166.0
8/17/2018,1918.0
8/18/2018,397.0
8/19/2018,433.0
8/20/2018,2350.0
8/21/2018,2334.0
8/22/2018,2232.0
8/23/2018,2179.0
8/24/2018,1939.0
8/25/2018,417.0
8/26/2018,451.0
8/27/2018,3058.0
8/28/2018,2398.0
8/29/2018,2346.0
8/30/2018,2127.0
8/31/2018,1962.0
9/1/2018,467.0
9/2/2018,346.0
9/3/2018,454.0
9/4/2018,3050.0
9/5/2018,2589.0
9/6/2018,2312.0
9/7/2018,1977.0
9/8/2018,617.0
9/9/2018,435.0
9/10/2018,2462.0
9/11/2018,2311.0
9/12/2018,2080.0
9/13/2018,2105.0
9/14/2018,1903.0
9/15/2018,530.0
9/16/2018,429.0
9/17/2018,2463.0
9/18/2018,2209.0
9/19/2018,2136.0
9/20/2018,2122.0
9/21/2018,1970.0
9/22/2018,477.0
9/23/2018,507.0
9/24/2018,2451.0
9/25/2018,2209.0
9/26/2018,2290.0
9/27/2018,2172.0
9/28/2018,2128.0
9/29/2018,580.0
9/30/2018,479.0
10/1/2018,2431.0
10/2/2018,2381.0
10/3/2018,2222.0
10/4/2018,2327.0
10/5/2018,2317.0
10/6/2018,667.0
10/7/2018,513.0
10/8/2018,2132.0
10/9/2018,2586.0
10/10/2018,2341.0
10/11/2018,2257.0
10/12/2018,2105.0
10/13/2018,621.0
10/14/2018,527.0
10/15/2018,2478.0
10/16/2018,2459.0
10/17/2018,2319.0
10/18/2018,2221.0
10/19/2018,2029.0
10/20/2018,573.0
10/21/2018,542.0
10/22/2018,2644.0
10/23/2018,2350.0
10/24/2018,2333.0
10/25/2018,2309.0
10/26/2018,2107.0
10/27/2018,607.0
10/28/2018,514.0
10/29/2018,2503.0
10/30/2018,2509.0
10/31/2018,2135.0
11/1/2018,2359.0
11/2/2018,2273.0
11/3/2018,622.0
11/4/2018,566.0
11/5/2018,2632.0
11/6/2018,2521.0
11/7/2018,2307.0
11/8/2018,2199.0
11/9/2018,2053.0
11/10/2018,616.0
11/11/2018,485.0
11/12/2018,1915.0
11/13/2018,2262.0
11/14/2018,2350.0
11/15/2018,2206.0
11/16/2018,2325.0
11/17/2018,547.0
11/18/2018,414.0
11/19/2018,2406.0
11/20/2018,2106.0
11/21/2018,1718.0
11/22/2018,187.0
11/23/2018,590.0
11/24/2018,517.0
11/25/2018,512.0
11/26/2018,2799.0
11/27/2018,2653.0
11/28/2018,2379.0
11/29/2018,2208.0
11/30/2018,2250.0
12/1/2018,735.0
12/2/2018,573.0
12/3/2018,2885.0
12/4/2018,2509.0
12/5/2018,2238.0
12/6/2018,2120.0
12/7/2018,2012.0
12/8/2018,622.0
12/9/2018,444.0
12/10/2018,2208.0
12/11/2018,2268.0
12/12/2018,2128.0
12/13/2018,2010.0
12/14/2018,1891.0
12/15/2018,592.0
12/16/2018,398.0
12/17/2018,2464.0
12/18/2018,2228.0
12/19/2018,2062.0
12/20/2018,2097.0
12/21/2018,1629.0
12/22/2018,628.0
12/23/2018,331.0
12/24/2018,573.0
12/25/2018,81.0
12/26/2018,1349.0
12/27/2018,1532.0
12/28/2018,1516.0
12/29/2018,553.0
12/30/2018,351.0
12/31/2018,1097.0
1/1/2019,175.0
1/2/2019,2356.0
1/3/2019,2163.0
1/4/2019,1934.0
1/5/2019,606.0
1/6/2019,466.0
1/7/2019,2311.0
1/8/2019,1936.0
1/9/2019,1876.0
1/10/2019,1842.0
1/11/2019,1791.0
1/12/2019,568.0
1/13/2019,424.0
1/14/2019,2112.0
1/15/2019,1932.0
1/16/2019,1856.0
1/17/2019,1910.0
1/18/2019,1811.0
1/19/2019,525.0
1/20/2019,407.0
1/21/2019,1309.0
1/22/2019,2085.0
1/23/2019,1891.0
1/24/2019,1783.0
1/25/2019,1655.0
1/26/2019,533.0
1/27/2019,416.0
1/28/2019,1973.0
1/29/2019,2020.0
1/30/2019,1839.0
1/31/2019,1924.0
2/1/2019,2015.0
2/2/2019,638.0
2/3/2019,509.0
2/4/2019,2278.0
2/5/2019,2039.0
2/6/2019,1940.0
2/7/2019,2230.0
2/8/2019,2187.0
2/9/2019,476.0
2/10/2019,488.0
2/11/2019,2178.0
2/12/2019,1883.0
2/13/2019,2018.0
2/14/2019,1732.0
2/15/2019,1656.0
2/16/2019,499.0
2/17/2019,399.0
2/18/2019,1353.0
2/19/2019,2098.0
2/20/2019,1942.0
2/21/2019,1971.0
2/22/2019,1769.0
2/23/2019,552.0
2/24/2019,445.0
2/25/2019,2063.0
2/26/2019,2011.0
2/27/2019,1996.0
2/28/2019,2059.0
3/1/2019,2057.0
3/2/2019,590.0
3/3/2019,461.0
3/4/2019,2373.0
3/5/2019,2028.0
3/6/2019,2048.0
3/7/2019,1733.0
3/8/2019,1728.0
3/9/2019,506.0
3/10/2019,418.0
3/11/2019,2059.0
3/12/2019,1872.0
3/13/2019,1707.0
3/14/2019,1742.0
3/15/2019,1598.0
3/16/2019,479.0
3/17/2019,399.0
3/18/2019,2114.0
3/19/2019,1955.0
3/20/2019,1906.0
3/21/2019,1788.0
3/22/2019,1608.0
3/23/2019,487.0
3/24/2019,421.0
3/25/2019,2117.0
3/26/2019,2088.0
3/27/2019,1915.0
3/28/2019,1936.0
3/29/2019,1804.0
3/30/2019,515.0
3/31/2019,441.0
4/1/2019,2287.0
4/2/2019,2183.0
4/3/2019,2039.0
4/4/2019,1889.0
4/5/2019,1824.0
4/6/2019,620.0
4/7/2019,449.0
4/8/2019,2073.0
4/9/2019,1895.0
4/10/2019,1911.0
4/11/2019,1899.0
4/12/2019,1779.0
4/13/2019,530.0
4/14/2019,468.0
4/15/2019,2188.0
4/16/2019,2061.0
4/17/2019,1794.0
4/18/2019,1835.0
4/19/2019,1443.0
4/20/2019,459.0
4/21/2019,317.0
4/22/2019,2516.0
4/23/2019,2427.0
4/24/2019,2085.0
4/25/2019,2060.0
4/26/2019,1878.0
4/27/2019,546.0
4/28/2019,467.0
4/29/2019,2224.0
4/30/2019,2149.0
5/1/2019,2385.0
5/2/2019,2197.0
5/3/2019,1863.0
5/4/2019,672.0
5/5/2019,503.0
5/6/2019,2305.0
5/7/2019,2060.0
5/8/2019,2074.0
5/9/2019,1999.0
5/10/2019,1856.0
5/11/2019,508.0
5/12/2019,397.0
5/13/2019,2108.0
5/14/2019,2078.0
5/15/2019,1957.0
5/16/2019,1897.0
5/17/2019,1846.0
5/18/2019,522.0
5/19/2019,449.0
5/20/2019,2322.0
5/21/2019,2507.0
5/22/2019,2387.0
5/23/2019,2121.0
5/24/2019,1726.0
5/25/2019,496.0
5/26/2019,318.0
5/27/2019,357.0
5/28/2019,2607.0
5/29/2019,2324.0
5/30/2019,2109.0
5/31/2019,1951.0
6/1/2019,622.0
6/2/2019,491.0
6/3/2019,2585.0
6/4/2019,2336.0
6/5/2019,2295.0
6/6/2019,2166.0
6/7/2019,2008.0
6/8/2019,541.0
6/9/2019,431.0
6/10/2019,2249.0
6/11/2019,2071.0
6/12/2019,1945.0
6/13/2019,1847.0
6/14/2019,1727.0
6/15/2019,527.0
6/16/2019,403.0
6/17/2019,2156.0
6/18/2019,1994.0
6/19/2019,1986.0
6/20/2019,2024.0
6/21/2019,1826.0
6/22/2019,549.0
6/23/2019,438.0
6/24/2019,2286.0
6/25/2019,2252.0
6/26/2019,2065.0
6/27/2019,2003.0
6/28/2019,1769.0
6/29/2019,557.0
6/30/2019,384.0
7/1/2019,2317.0
7/2/2019,2108.0
7/3/2019,1934.0
7/4/2019,280.0
7/5/2019,1101.0
7/6/2019,390.0
7/7/2019,389.0
7/8/2019,2388.0
7/9/2019,2044.0
7/10/2019,2041.0
7/11/2019,1933.0
7/12/2019,1633.0
7/13/2019,448.0
7/14/2019,433.0
7/15/2019,2248.0
7/16/2019,2149.0
7/17/2019,2129.0
7/18/2019,1905.0
7/19/2019,1779.0
7/20/2019,442.0
7/21/2019,415.0
7/22/2019,2350.0
7/23/2019,2059.0
7/24/2019,2073.0
7/25/2019,1981.0
7/26/2019,1791.0
7/27/2019,521.0
7/28/2019,424.0
7/29/2019,2199.0
7/30/2019,2049.0
7/31/2019,1991.0
8/1/2019,2088.0
8/2/2019,1838.0
8/3/2019,551.0
8/4/2019,464.0
8/5/2019,2450.0
8/6/2019,2122.0
8/7/2019,2002.0
8/8/2019,1901.0
8/9/2019,1657.0
8/10/2019,450.0
8/11/2019,334.0
8/12/2019,2179.0
8/13/2019,1984.0
8/14/2019,2004.0
8/15/2019,1965.0
8/16/2019,1682.0
8/17/2019,459.0
8/18/2019,413.0
8/19/2019,2113.0
8/20/2019,2042.0
8/21/2019,1877.0
8/22/2019,1956.0
8/23/2019,1584.0
8/24/2019,440.0
8/25/2019,414.0
8/26/2019,2281.0
8/27/2019,2000.0
8/28/2019,2069.0
8/29/2019,1844.0
8/30/2019,1721.0
8/31/2019,426.0
9/1/2019,284.0
9/2/2019,336.0
9/3/2019,2372.0
9/4/2019,2134.0
9/5/2019,1965.0
9/6/2019,1679.0
9/7/2019,460.0
9/8/2019,385.0
9/9/2019,2090.0
9/10/2019,1926.0
9/11/2019,1882.0
9/12/2019,1761.0
9/13/2019,1733.0
9/14/2019,571.0
9/15/2019,382.0
9/16/2019,2408.0
9/17/2019,2148.0
9/18/2019,2096.0
9/19/2019,1979.0
9/20/2019,1809.0
9/21/2019,535.0
9/22/2019,466.0
9/23/2019,2215.0
9/24/2019,2247.0
9/25/2019,2063.0
9/26/2019,2068.0
9/27/2019,1845.0
9/28/2019,526.0
9/29/2019,416.0
9/30/2019,2481.0
10/1/2019,2470.0
10/2/2019,2134.0
10/3/2019,1938.0
10/4/2019,1779.0
10/5/2019,511.0
10/6/2019,443.0
10/7/2019,2267.0
10/8/2019,2023.0
10/9/2019,1909.0
10/10/2019,1906.0
10/11/2019,1809.0
10/12/2019,459.0
10/13/2019,370.0
10/14/2019,1866.0
10/15/2019,2149.0
10/16/2019,2158.0
10/17/2019,1943.0
10/18/2019,1653.0
10/19/2019,509.0
10/20/2019,419.0
10/21/2019,2180.0
10/22/2019,2143.0
10/23/2019,2051.0
10/24/2019,1947.0
10/25/2019,1788.0
10/26/2019,586.0
10/27/2019,377.0
10/28/2019,2053.0
10/29/2019,1935.0
10/30/2019,2060.0
10/31/2019,1778.0
11/1/2019,1809.0
11/2/2019,602.0
11/3/2019,424.0
11/4/2019,2392.0
11/5/2019,2085.0
11/6/2019,2040.0
11/7/2019,1974.0
11/8/2019,1804.0
11/9/2019,514.0
11/10/2019,387.0
11/11/2019,1765.0
11/12/2019,2036.0
11/13/2019,1934.0
11/14/2019,1846.0
11/15/2019,1688.0
11/16/2019,458.0
11/17/2019,359.0
11/18/2019,2006.0
11/19/2019,1870.0
11/20/2019,1864.0
11/21/2019,1896.0
11/22/2019,1653.0
11/23/2019,437.0
11/24/2019,289.0
11/25/2019,1900.0
11/26/2019,1836.0
11/27/2019,1426.0
11/28/2019,165.0
11/29/2019,591.0
11/30/2019,381.0
12/1/2019,346.0
12/2/2019,2192.0
12/3/2019,1912.0
12/4/2019,1806.0
12/5/2019,1761.0
12/6/2019,1702.0
12/7/2019,514.0
12/8/2019,441.0
12/9/2019,1835.0
12/10/2019,1766.0
12/11/2019,1674.0
12/12/2019,1686.0
12/13/2019,1495.0
12/14/2019,395.0
12/15/2019,313.0
12/16/2019,1974.0
12/17/2019,1979.0
12/18/2019,1897.0
12/19/2019,1953.0
12/20/2019,1689.0
12/21/2019,466.0
12/22/2019,252.0
12/23/2019,1495.0
12/24/2019,607.0
12/25/2019,87.0
12/26/2019,1164.0
12/27/2019,1232.0
12/28/2019,331.0
12/29/2019,225.0
12/30/2019,1599.0
12/31/2019,1147.0
1/1/2020,183.0
1/2/2020,1845.0
1/3/2020,1520.0
1/4/2020,387.0
1/5/2020,332.0
1/6/2020,2196.0
1/7/2020,1984.0
1/8/2020,1892.0
1/9/2020,1937.0
1/10/2020,1586.0
1/11/2020,459.0
1/12/2020,365.0
1/13/2020,1961.0
1/14/2020,1845.0
1/15/2020,1786.0
1/16/2020,2141.0
1/17/2020,1699.0
1/18/2020,453.0
1/19/2020,358.0
1/20/2020,1391.0
1/21/2020,2102.0
1/22/2020,1841.0
1/23/2020,1792.0
1/24/2020,1745.0
1/25/2020,534.0
1/26/2020,402.0
1/27/2020,2108.0
1/28/2020,2018.0
1/29/2020,1882.0
1/30/2020,1943.0
1/31/2020,1640.0
2/1/2020,522.0
2/2/2020,372.0
2/3/2020,2107.0
2/4/2020,1980.0
2/5/2020,1776.0
2/6/2020,1773.0
2/7/2020,1574.0
2/8/2020,481.0
2/9/2020,364.0
2/10/2020,1913.0
2/11/2020,1862.0
2/12/2020,1714.0
2/13/2020,1655.0
2/14/2020,1605.0
2/15/2020,471.0
2/16/2020,339.0
2/17/2020,1386.0
2/18/2020,1992.0
2/19/2020,1810.0
2/20/2020,1841.0
2/21/2020,1663.0
2/22/2020,463.0
2/23/2020,372.0
2/24/2020,2136.0
2/25/2020,1960.0
2/26/2020,2008.0
2/27/2020,1872.0
2/28/2020,1622.0
2/29/2020,443.0
3/1/2020,450.0
3/2/2020,2122.0
3/3/2020,2007.0
3/4/2020,1866.0
3/5/2020,1899.0
3/6/2020,1628.0
3/7/2020,410.0
3/8/2020,344.0
3/9/2020,1789.0
3/10/2020,1742.0
3/11/2020,1690.0
3/12/2020,1598.0
3/13/2020,1360.0
3/14/2020,420.0
3/15/2020,286.0
3/16/2020,1673.0
3/17/2020,1605.0
3/18/2020,1320.0
3/19/2020,1379.0
3/20/2020,1350.0
3/21/2020,401.0
3/22/2020,291.0
3/23/2020,1440.0
3/24/2020,1382.0
3/25/2020,1360.0
3/26/2020,1490.0
3/27/2020,1315.0
3/28/2020,329.0
3/29/2020,272.0
3/30/2020,1525.0
3/31/2020,1421.0
4/1/2020,1576.0
4/2/2020,1511.0
4/3/2020,1521.0
4/4/2020,657.0
4/5/2020,432.0
4/6/2020,1621.0
4/7/2020,1492.0
4/8/2020,1372.0
